,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,Llenar el Vacío,spotify:track:2sktQKiGgUdS7nnTLBtKNT,42,2022-05-14,0.529,0.664,11,-9.235,1,0.0545,0.338,0.0,0.295,0.653,165.894,2sktQKiGgUdS7nnTLBtKNT,185589,4
1,Besos En Guerra,spotify:track:1mlGScrDQqHqmhdIqE8MmA,79,2018-10-25,0.69,0.973,2,-3.588,1,0.0492,0.126,0.0,0.101,0.772,143.957,1mlGScrDQqHqmhdIqE8MmA,231533,4
2,You Belong With Me,spotify:track:3GCL1PydwsLodcpv0Ll1ch,71,2008-11-11,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,3GCL1PydwsLodcpv0Ll1ch,231133,4
3,Blank Space,spotify:track:1p80LdxRV74UKvL8gnD7ky,77,2014-10-27,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,1p80LdxRV74UKvL8gnD7ky,231827,4
4,Eso Y Más,spotify:track:6JrJdo0rvJZY6Yfj49ot2O,30,2020-11-06,0.523,0.308,8,-10.805,1,0.0376,0.815,0.0,0.0875,0.432,81.273,6JrJdo0rvJZY6Yfj49ot2O,166600,4
5,Beso,spotify:track:4PpuZIMmeng6qPicveSI22,68,2016-10-14,0.793,0.56,7,-8.922,0,0.0324,0.599,0.0,0.0952,0.862,123.011,4PpuZIMmeng6qPicveSI22,211022,4
6,El Pueblo,spotify:track:2fRJ1x3PGFduyKlan2BDEP,35,2019-11-22,0.793,0.705,11,-4.239,0,0.134,0.136,0.0,0.099,0.727,89.998,2fRJ1x3PGFduyKlan2BDEP,159440,4
7,506,spotify:track:4scwMEdlKi8qWJzzyDB8Z3,80,2022-09-02,0.544,0.864,0,-5.65,1,0.048,0.00747,0.0,0.338,0.69,142.994,4scwMEdlKi8qWJzzyDB8Z3,180547,4
8,Grow As We Go,spotify:track:6hYvw3LLTViP2mT4MpDNmT,65,2019-03-29,0.458,0.137,8,-14.083,1,0.0355,0.882,0.0,0.15,0.437,80.824,6hYvw3LLTViP2mT4MpDNmT,249427,4
9,I Will Go and Do - 2020 Youth Theme Song,spotify:track:01nWmkzHrNKfURDi4xF3bu,44,2019-11-17,0.625,0.261,9,-7.66,1,0.0265,0.756,0.0,0.13,0.233,74.013,01nWmkzHrNKfURDi4xF3bu,236957,4
10,Here Comes The Sun - Remastered 2009,spotify:track:6dGnYIeXmHdcikdzNNDMm2,83,1969-09-26,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,6dGnYIeXmHdcikdzNNDMm2,185733,4
11,Hey Jude - Remastered 2009,spotify:track:3m7V717IKZqZLW5qUIOxdD,63,1973-04-02,0.402,0.552,10,-10.158,1,0.0258,0.028,1.36e-05,0.0929,0.668,145.164,3m7V717IKZqZLW5qUIOxdD,431333,4
12,Pa' Lante (feat. El Micha),spotify:track:2HxoM6Dn7l7fNuwh6OiWV1,55,2016-04-29,0.56,0.778,11,-4.788,0,0.314,0.0632,0.0,0.171,0.513,99.954,2HxoM6Dn7l7fNuwh6OiWV1,173093,4
13,Hay Burner,spotify:track:2MlQuvVsq23rnanz6OYaB5,41,1998-01-01,0.669,0.462,5,-9.919,1,0.0349,0.441,0.185,0.114,0.648,120.038,2MlQuvVsq23rnanz6OYaB5,256160,4
14,Tonight,spotify:track:0m3VAnwuryISuxMzhAphGU,26,1962,0.586,0.466,7,-8.453,1,0.0286,0.777,0.000546,0.109,0.681,94.312,0m3VAnwuryISuxMzhAphGU,273893,4
15,Peace in Christ,spotify:track:1J0KLdRf19gX7s4qODKLvV,49,2017-12-01,0.462,0.344,3,-6.791,1,0.0311,0.741,0.0,0.151,0.234,139.56,1J0KLdRf19gX7s4qODKLvV,216189,4
16,Soulful Mr. Timmons,spotify:track:2G0Xjwpd9LhdGYKWjR89Ta,8,2001-01-01,0.476,0.521,5,-12.141,0,0.0455,0.423,0.000173,0.769,0.597,74.932,2G0Xjwpd9LhdGYKWjR89Ta,616515,4
17,'Tis Sweet to Sing the Matchless Love,spotify:track:3blJIvHqfqO5HcW0Lgp5NQ,8,2013-11-29,0.492,0.26,2,-13.43,1,0.0293,0.788,0.863,0.104,0.283,151.959,3blJIvHqfqO5HcW0Lgp5NQ,286253,3
18,"Be Still, My Soul (arr. Kurt Bestor)",spotify:track:6NCel5tOCLTFSEZOFoCzNr,5,2019-11-15,0.118,0.0427,0,-18.773,1,0.0363,0.983,0.789,0.0749,0.0507,162.026,6NCel5tOCLTFSEZOFoCzNr,311920,4
19,Amazing Grace (arr. Kevin McKee),spotify:track:1jrzKxVN4LuMqYYOTBVwbf,6,2019-11-15,0.143,0.121,2,-15.942,1,0.0435,0.981,0.85,0.0848,0.101,69.407,1jrzKxVN4LuMqYYOTBVwbf,335573,4
20,"Savior, Redeemer of My Soul",spotify:track:3W8nj0CP99OgdOHn45Nt8x,5,2019-11-15,0.177,0.113,1,-16.389,0,0.0378,0.973,0.785,0.112,0.0726,87.79,3W8nj0CP99OgdOHn45Nt8x,275173,1
21,Dat Dere - Remastered 2005,spotify:track:0fYXEHGIJqfimplx8Y4683,37,2005-01-01,0.718,0.523,0,-6.638,0,0.0427,0.802,0.0944,0.14,0.576,126.534,0fYXEHGIJqfimplx8Y4683,527040,4
22,Better Get Hit In Your Soul,spotify:track:4GnuiyYBxMU1yRqmi9mtjS,1,1984,0.467,0.501,10,-14.083,1,0.072,0.666,0.0853,0.681,0.713,133.895,4GnuiyYBxMU1yRqmi9mtjS,691333,3
23,Don't Worry Be Happy,spotify:track:4hObp5bmIJ3PP3cKA9K9GY,70,1988-01-01,0.675,0.166,11,-22.602,1,0.171,0.88,7.14e-05,0.0461,0.747,68.837,4hObp5bmIJ3PP3cKA9K9GY,294400,4
24,Humble And Kind,spotify:track:4Pn0JlCUusD2QHjADuOzuV,70,2015-01-01,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,4Pn0JlCUusD2QHjADuOzuV,259267,3
25,Georgia On My Mind,spotify:track:6JF9Uq4wvtyXx8g0HfnSWH,23,1986-01-01,0.361,0.154,9,-16.512,0,0.0356,0.769,0.845,0.195,0.0391,111.421,6JF9Uq4wvtyXx8g0HfnSWH,242227,4
26,Senor Mouse,spotify:track:163LRgpTFaLXL3QiDei4mc,15,2008-09-30,0.671,0.625,1,-7.664,1,0.0312,0.818,0.591,0.0853,0.758,97.508,163LRgpTFaLXL3QiDei4mc,301173,4
27,American Dreams (feat. David Osmond & Ryan Shupe & the Rubberband),spotify:track:2h66V893MYZ5vsIRqWTMnC,23,2005-06-15,0.486,0.494,6,-8.857,1,0.0316,0.497,2.27e-06,0.246,0.328,154.048,2h66V893MYZ5vsIRqWTMnC,201040,3
28,The Rising (feat. Jimi Westbrook),spotify:track:5bFzuA7S0VTaS7vYOBuKQD,25,2005-06-15,0.671,0.683,6,-5.47,1,0.0282,0.0613,0.0,0.226,0.358,122.974,5bFzuA7S0VTaS7vYOBuKQD,184773,4
